Búsnúmer.;Einstaklingsnr. móður;Fæð.dagur móður;Nr. síð. sæð.;Dagar - sæð. til burðar;Naut;Burðardags.;Burður nr.;Faðir;Kyn;Gangur;Afdrif;Númer kálfs
1717381;201917173811213;05.04.2019;2;278;18045;30.06.2021;1;18045;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;202117173811365
1527151;201415271510539;21.08.2014;1;288;18037;30.06.2021;5;18037;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202115271510839
1600841;201716008412478;26.01.2017;1;293;15022;30.06.2021;3;15022;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202116008413537
1527241;201915272411079;25.05.2019;1;285;18035;30.06.2021;1;18035;Naut;4. Mjög erfiður burður-aðstoð dýralæknis;4, Fæddist dauður;
1664941;201916649411355;26.09.2019;;;;30.06.2021;1;201916649411317;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202116649411463
1654691;201916546910853;25.10.2019;;;;30.06.2021;1;201816546810956;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202116546910920
1460381;201914603811112;07.06.2019;1;290;201914603811084;30.06.2021;1;201914603811084;Naut;1. Auðveldur burður-bar sjálf;3, Slátrað/í sláturhús;202114603811303
1261381;201912613810996;06.07.2019;1;276;13011;30.06.2021;1;13011;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202112613811127
1261381;201912613810996;06.07.2019;1;276;13011;30.06.2021;1;13011;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;202112613811128
1534351;201915343511372;08.03.2019;;;;30.06.2021;1;201815343511333;Naut;3. Erfiður burður-mikil burðarhjálp;9, Drapst í fæðingu;
1638601;201916386011222;01.05.2019;;;;30.06.2021;1;201816386011156;Naut;2. Léttur burður-lítil burðarhjálp;4, Fæddist dauður;
1662061;201716620610905;28.01.2017;3;285;18050;30.06.2021;3;18050;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;202116620611178
1671511;201816715111686;15.07.2018;1;286;14050;30.06.2021;2;14050;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;202116715112113
1540061;201915400610718;10.08.2019;1;287;201915400610719;30.06.2021;1;201915400610719;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;202115400610795
1441521;201414415210757;04.01.2014;2;290;11011;30.06.2021;6;11011;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202114415211039
1399011;201313990110316;23.06.2013;1;281;13022;30.06.2021;5;13022;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202113990110486
1459921;201814599210935;20.08.2018;1;278;18025;30.06.2021;2;18025;Naut;1. Auðveldur burður-bar sjálf;3, Slátrað/í sláturhús;202114599211078
1637551;201816375510924;05.10.2018;;;;30.06.2021;1;201916375510933;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202116375511057
1534101;201815718110482;23.11.2018;1;610;201715718110441;30.06.2021;2;201915341010895;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202115341011062
1525431;201415242911018;18.02.2014;1;289;18037;30.06.2021;6;18037;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;202115254311336
1645281;201916452812621;05.01.2019;;;;30.06.2021;2;201916452812707;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202116452812986
1464241;201914642410807;29.01.2019;;;;30.06.2021;1;201815244610674;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202114642410954
1654801;201716548010619;08.10.2017;1;282;18040;30.06.2021;3;18040;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202116548010766
1630741;201816307410824;25.02.2018;1;289;18050;30.06.2021;2;18050;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;202116307410929
1650032;201816500321017;14.01.2018;1;277;14008;30.06.2021;2;14008;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;202116500321146
1650032;201816500321017;14.01.2018;1;277;14008;30.06.2021;2;14008;Kvíga;2. Léttur burður-lítil burðarhjálp;7,  Drapst innan sólarhrings;
1641631;201716416311124;13.12.2017;1;283;18036;30.06.2021;2;18036;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202116416311535
1574431;201715744310219;21.11.2017;2;288;18031;30.06.2021;2;18031;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;202115744310262
1528871;201815288711559;20.05.2018;1;287;201815288711607;30.06.2021;2;201815288711607;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202115288711848
1595181;201515951810311;29.06.2015;1;283;13011;30.06.2021;4;13011;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202115951810406
1572011;201615720112300;02.09.2016;1;280;15014;30.06.2021;4;15014;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;202115720112814
1440201;201714402010308;16.03.2017;2;292;18024;30.06.2021;3;18024;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;202114402010371
1533501;201615335010380;11.05.2016;1;284;13027;30.06.2021;3;13027;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202115335010488
1525131;201715251310945;03.02.2017;1;286;18050;30.06.2021;3;18050;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202115251311194
1338531;201613385311782;01.05.2016;3;291;15022;30.06.2021;4;15022;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;202113385312197
1331671;201613408710185;16.04.2016;2;442;18022;30.06.2021;3;201813316710821;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;202113316710985
1361391;201513613910485;01.12.2015;1;287;18031;30.06.2021;4;18031;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202113613910733
1523171;201515231711059;23.09.2015;1;285;15018;30.06.2021;4;15018;Naut;1. Auðveldur burður-bar sjálf;6, Seldur;202115231711389
1528841;201715288411183;20.05.2017;1;281;19402;30.06.2021;3;19402;Naut;2. Léttur burður-lítil burðarhjálp;2, Alinn til kjötframleiðslu;202115288411406
1633701;201516337010236;13.05.2015;2;280;18034;30.06.2021;4;18034;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202116337010389
1524711;201615247111510;13.05.2016;2;284;18039;30.06.2021;3;18039;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202115247111845
1571871;201715718711541;11.04.2017;;;;30.06.2021;2;999999999919999;Naut;3. Erfiður burður-mikil burðarhjálp;1, Settur á;202115718711735
1465371;201514653710812;16.09.2015;3;286;18045;30.06.2021;4;18045;Naut;2. Léttur burður-lítil burðarhjálp;2, Alinn til kjötframleiðslu;202114653711249
1524711;201615240310570;22.01.2016;1;284;12007;30.06.2021;4;12007;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202115247111844
1526591;201515265910716;02.03.2015;1;281;15019;30.06.2021;5;15019;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202115265911132
1639321;201416393210576;07.11.2014;2;286;13027;30.06.2021;5;13027;Naut;2. Léttur burður-lítil burðarhjálp;2, Alinn til kjötframleiðslu;202116393210873
1662061;201616620610891;20.09.2016;1;292;18040;30.06.2021;3;18040;Naut;1. Auðveldur burður-bar sjálf;1, Settur á;202116620611179
1638721;201516387210566;08.03.2015;2;279;15014;30.06.2021;5;15014;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202116387210982
1528191;201415281910637;22.04.2014;1;282;19402;30.06.2021;4;19402;Kvíga;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202115281910937
1360171;201913601711161;21.06.2019;;;;30.06.2021;1;201913601711156;Naut;1. Auðveldur burður-bar sjálf;4, Fæddist dauður;
1638111;201916381110596;01.07.2019;1;282;18050;29.06.2021;1;18050;Naut;2. Léttur burður-lítil burðarhjálp;2, Alinn til kjötframleiðslu;202116381110669
1528871;201515288711255;05.01.2015;2;289;201815288711607;29.06.2021;5;201815288711607;Naut;2. Léttur burður-lítil burðarhjálp;2, Alinn til kjötframleiðslu;202115288711847
1526831;201915268310575;29.04.2019;1;286;18040;29.06.2021;1;18040;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;202115268310624
1525931;201915259310999;08.04.2019;2;279;201815259310979;29.06.2021;1;202015259311062;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202115259311189
1665491;201916654912532;09.06.2019;;;;29.06.2021;1;201916654912564;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202116654912763
1638881;201716388810779;19.11.2017;1;288;18028;29.06.2021;2;18028;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202116388810964
1513581;201615135810669;25.04.2016;2;282;13027;29.06.2021;3;13027;Naut;2. Léttur burður-lítil burðarhjálp;2, Alinn til kjötframleiðslu;202115135810932
1662661;201916626610876;11.06.2019;1;268;201916626610884;29.06.2021;1;201916626610884;Naut;2. Léttur burður-lítil burðarhjálp;3, Slátrað/í sláturhús;202116626610971
1662751;201916627510808;17.02.2019;4;288;18028;29.06.2021;1;18028;Kvíga;3. Erfiður burður-mikil burðarhjálp;4, Fæddist dauður;
1440541;201914405410836;25.06.2019;2;271;14008;29.06.2021;1;201914405410822;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202114405410929
1526571;201915265711856;04.08.2019;1;287;18037;29.06.2021;1;18037;Kvíga;1. Auðveldur burður-bar sjálf;4, Fæddist dauður;
1459301;201914593011942;22.08.2019;1;276;201914593011956;29.06.2021;1;201914593011956;Naut;4. Mjög erfiður burður-aðstoð dýralæknis;2, Alinn til kjötframleiðslu;202114593012177
1463181;201713599910351;24.12.2017;4;290;12001;29.06.2021;2;12001;Naut;3. Erfiður burður-mikil burðarhjálp;4, Fæddist dauður;
1637551;201716375510868;22.07.2017;2;289;13022;29.06.2021;2;13022;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202116375511056
1664921;201916649211396;20.06.2019;1;293;18050;29.06.2021;1;201916649211362;Naut;3. Erfiður burður-mikil burðarhjálp;9, Drapst í fæðingu;
1638451;201516384510518;20.12.2015;1;286;18031;29.06.2021;4;18031;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202116384510724
1645281;201516452812146;06.07.2015;;;;29.06.2021;4;201916452812707;Kvíga;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202116452813016
1670731;201916707311378;25.01.2019;2;277;19001;29.06.2021;1;19001;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;202116707311536
1459301;201814593011821;18.09.2018;1;282;14008;29.06.2021;2;14008;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202114593012176
1460051;201814600510678;27.01.2018;1;282;14087;29.06.2021;2;14087;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202114600510845
1540071;201815400710157;15.03.2018;3;286;18029;29.06.2021;2;18029;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202115400710372
1664651;201716646511273;22.11.2017;1;282;19404;29.06.2021;2;19404;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202116646511501
1630351;201816303510433;06.07.2018;;;;29.06.2021;1;201916303510444;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202116303510547
1637101;201516371010526;31.12.2015;2;287;18040;29.06.2021;4;18040;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202116371010770
1638721;201716376010774;12.03.2017;3;287;18034;29.06.2021;3;18034;Kvíga;2. Léttur burður-lítil burðarhjálp;1, Settur á;202116387210981
1665721;201616657210611;21.12.2016;2;287;18036;29.06.2021;3;18036;Naut;1. Auðveldur burður-bar sjálf;3, Slátrað/í sláturhús;202116657210865
1641861;201716418611918;27.03.2017;1;286;15027;29.06.2021;3;15027;Kvíga;1. Auðveldur burður-bar sjálf;1, Settur á;202116418612442
1640601;201616406010867;12.12.2016;1;647;13011;29.06.2021;3;202016406011075;Naut;2. Léttur burður-lítil burðarhjálp;2, Alinn til kjötframleiðslu;202116406011156
1526571;201615265711513;26.06.2016;1;286;15029;29.06.2021;4;15029;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202115265712064
1637551;201616375510803;20.06.2016;2;295;18045;29.06.2021;4;18045;Naut;1. Auðveldur burður-bar sjálf;2, Alinn til kjötframleiðslu;202116375511055
